index_type,mode,rows_base,explain_plan
unique_btree,lookup_and_update,10000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '9001'::bigint) AND (unique_key <= '10000'::bigint))
"
unique_btree,lookup_and_update,25000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '24001'::bigint) AND (unique_key <= '25000'::bigint))
"
unique_btree,lookup_and_update,50000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '49001'::bigint) AND (unique_key <= '50000'::bigint))
"
unique_btree,lookup_and_update,100000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '99001'::bigint) AND (unique_key <= '100000'::bigint))
"
unique_btree,lookup_and_update,250000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '249001'::bigint) AND (unique_key <= '250000'::bigint))
"
unique_btree,lookup_and_update,500000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '499001'::bigint) AND (unique_key <= '500000'::bigint))
"
unique_btree,lookup_and_update,1000000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '999001'::bigint) AND (unique_key <= '1000000'::bigint))
"
unique_btree,lookup_and_update,2000000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '1999001'::bigint) AND (unique_key <= '2000000'::bigint))
"
unique_btree,lookup_only,5000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '4001'::bigint) AND (unique_key <= '5000'::bigint))
"
unique_btree,lookup_only,10000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '9001'::bigint) AND (unique_key <= '10000'::bigint))
"
unique_btree,lookup_only,25000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '24001'::bigint) AND (unique_key <= '25000'::bigint))
"
unique_btree,lookup_only,50000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '49001'::bigint) AND (unique_key <= '50000'::bigint))
"
unique_btree,lookup_only,100000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '99001'::bigint) AND (unique_key <= '100000'::bigint))
"
unique_btree,lookup_only,250000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '249001'::bigint) AND (unique_key <= '250000'::bigint))
"
unique_btree,lookup_only,500000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '499001'::bigint) AND (unique_key <= '500000'::bigint))
"
unique_btree,lookup_only,1000000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '999001'::bigint) AND (unique_key <= '1000000'::bigint))
"
unique_btree,lookup_only,2000000,"Update on update_index_usage_work
  ->  Index Scan using idx_30_update_unique_btree on update_index_usage_work
        Index Cond: ((unique_key >= '1999001'::bigint) AND (unique_key <= '2000000'::bigint))
"
